"country","cntry_code","admin_name","ipum_code","ipum_ref_year","muni_code","muni_orig_col","parent","ntl_2006","ntl_2007","ntl_2008","ntl_2009","ntl_2010","ntl_2011","ntl_2012","ntl_2013","ntl_2014","ntl_2015","ntl_2016","ntl_2017","ntl_2018","ntl_2019"
"Ecuador","218","Machala","007001",2010,"701","CANT2010","007",20.7525773195876,20.5850515463918,20.9742268041237,23.5345268542199,22.9641943734015,26.0690537084399,28.520618556701,27.270618556701,30.4149484536082,30.8762886597938,30.5489690721649,31.7164948453608,32.9329896907216,35.770618556701
"Ecuador","218","El Guabo","007002",2010,"706","CANT2010","007",5.95125348189415,6.01949860724234,5.93036211699164,7.77542372881356,6.5819209039548,8.8954802259887,10.5571030640669,9.4025069637883,6.66852367688022,7.77855153203343,7.74791086350975,10.0738161559889,11.2130919220056,12.3328690807799
"Ecuador","218","Huaquillas","007003",2010,"707","CANT2010","007",16.7160493827161,16.641975308642,14.7901234567901,20.9861111111111,18.9027777777778,21.7777777777778,23.5679012345679,22.3086419753086,25.9753086419753,26.5802469135802,26.5802469135802,30.0987654320988,31.1851851851852,30.2592592592593
"Ecuador","218","Arenillas, Las Lajas","007004",2010,"702","CANT2010","007",2.51200619674671,2.3702556158017,2.41905499612703,4.28967642526965,3.42835130970724,4.9306625577812,4.92951200619675,4.3725793958172,3.68396591789311,3.73044151820294,4.08055770720372,6.1998450813323,7.4872192099148,6.6003098373354
"Ecuador","218","Chilla, Pasaje","007005",2010,"709","CANT2010","007",3.74211099020675,3.89227421109902,3.75299238302503,5.36069114470842,4.86717062634989,6.23002159827214,6.07072905331882,5.68879216539717,5.21653971708379,5.45266594124048,5.39390642002176,7.49401523394995,7.83460282916213,8.48204570184984
"Ecuador","218","Santa Rosa","007006",2010,"712","CANT2010","007",5.2253807106599,4.8751269035533,5.07918781725888,6.78760162601626,6.26219512195122,7.88008130081301,8.68223350253807,7.98680203045685,7.79796954314721,7.30456852791878,7.70761421319797,10.9390862944162,12.307614213198,12.0497461928934
"Ecuador","218","Alausí, Chunchi, Cumandá","006001",2010,"602","CANT2010","006",1.48057259713701,1.69529652351738,1.29652351738241,1.88201556739041,1.53256861941827,1.94633346988939,2.30961145194274,2.10879345603272,1.33824130879346,1.28629856850716,1.35460122699386,2.13742331288344,2.54151329243354,2.30347648261759
"Ecuador","218","Colta, Pallatanga","006002",2010,"603","CANT2010","006",1.76825842696629,1.78370786516854,1.78370786516854,2.19465917076599,2.0498945888967,2.08151791988756,3.08356741573034,2.97261235955056,1.54143258426966,1.80688202247191,1.66994382022472,2.86587078651685,3.38904494382022,3.25772471910112
"Ecuador","218","Guano, Penipe","006003",2010,"607","CANT2010","006",5.6903023983316,5.18143899895725,4.90302398331595,5.40909090909091,5.19214876033058,5.48760330578512,7.78415015641293,7.95828988529718,4.76850886339937,5.00104275286757,5.38060479666319,6.86548488008342,7.45151199165798,7.25547445255474
"Ecuador","218","Guamote","006004",2010,"606","CANT2010","006",0.299719887955182,0.355742296918768,0.487394957983193,0.540350877192982,0.386666666666667,0.569122807017544,0.724789915966387,0.716386554621849,0.24859943977591,0.412464985994398,0.396358543417367,0.724089635854342,1.10084033613445,1.06512605042017
